species,NCBI_taxonomy_ID,percent present,mean reads,total reads
Acidaminococcus_fermentans,905,6.227667177131191,1.688327586822987,3307.4337425862313
Acidaminococcus_intestini,187327,8.831036242981117,5.845783620924682,11451.890113391453
Acidaminococcus_sp. CAG:542,1262687,77.28432873915263,203.7589671138753,399163.8165760817
Acinetobacter_albensis,1673609,0.45941807044410643,0.1048677124249509,205.4358486404788
Acinetobacter_apis,1229165,1.071975497702915,0.13673039917438076,267.85485198261193
Acinetobacter_baumannii,470,21.490556406329762,3676.2062045971547,7201687.954805826
Acinetobacter_baylyi,202950,1.3782542113323082,0.40465996306516894,792.7288676446659
Acinetobacter_beijerinckii,262668,0.6636038795303723,0.8367110345145687,1639.11691661404
Acinetobacter_bereziniae,106648,2.807554874936191,0.6645193008470037,1301.7933103592802
Acinetobacter_bohemicus,1435036,4.900459418070446,0.6179884736254755,1210.6394198323064
Acinetobacter_boissieri,1219383,1.3782542113323082,0.16093380969217852,315.26933318697775
Acinetobacter_bouvetii,202951,0.9188361408882129,0.06625782556661286,129.7990802849946
Acinetobacter_brisouii,396323,0.20418580908626582,0.04841070992330489,94.83658073975427
Acinetobacter_calcoaceticus,471,5.870342011230223,9.580347996784669,18767.901725701166
Acinetobacter_celticus,1891224,1.5313935681470103,0.2565015358417238,502.486508713937
Acinetobacter_chinensis,2004650,3.369065849923425,0.6061423949725185,1187.4329517511637
Acinetobacter_colistiniresistens,280145,2.6033690658499253,0.9391332482291531,1839.762033280911
Acinetobacter_cumulans,2136182,2.7054619703930527,1.1153148444372603,2184.9017802525927
Acinetobacter_defluvii,1871111,0.9698825931597765,0.23559051392481992,461.5218167787222
Acinetobacter_dispersus,70348,0.8167432363450744,0.19571004598470088,383.395980084029
Acinetobacter_equi,1324350,1.6845329249617125,0.4534851411160234,888.3773914462898
Acinetobacter_gandensis,1443941,0.8167432363450744,0.08881688731912196,173.99228225815992
Acinetobacter_gerneri,202952,1.8376722817764146,0.41662856318375696,816.1753552769799
Acinetobacter_guillouiae,106649,1.5313935681470103,0.9452475674027762,1851.7399845420384
Acinetobacter_gyllenbergii,134534,0.3062787136294043,0.07800753826852039,152.81676746803143
Acinetobacter_haemolyticus,29430,12.81265952016335,3.0635581089170087,6001.51033536842
Acinetobacter_idrijaensis,1507807,0.15313935681470214,0.011623689795880503,22.770808310129905
Acinetobacter_indicus,756892,6.482899438489021,1.5640140030116079,3063.9034318997396
Acinetobacter_johnsonii,40214,9.596733027054615,5.869717225041047,11498.77604385541
Acinetobacter_junii,40215,3.011740684022457,2.231752485983475,4372.003120041628
Acinetobacter_kookii,1226327,0.8677896886166381,0.1721625292523957,337.26639480544316
Acinetobacter_kyonggiensis,595670,1.5824400204185851,0.8990162950043988,1761.1729219136173
Acinetobacter_lactucae,1785128,0.7656967840735107,2.426182061649236,4752.890658770853
Acinetobacter_lanii,2715163,0.8677896886166381,0.10588596334907908,207.43060220084593
Acinetobacter_larvae,1789224,1.429300663603883,0.13369328307916445,261.90514155208314
Acinetobacter_lwoffii,28090,11.893823379275137,4.315213070922699,8453.502405937566
Acinetobacter_marinus,281375,1.6845329249617125,0.1722249672207957,337.38871078553876
Acinetobacter_nectaris,1219382,2.450229709035223,0.3955153181563288,774.8145082682481
Acinetobacter_nosocomialis,106654,6.278713629402755,16.246661270800505,31827.20942949819
Acinetobacter_oleivorans,1148157,0.3062787136294043,0.9145032374547469,1791.5118421738493
Acinetobacter_parvus,134533,0.8677896886166381,0.36544721933964486,715.9111026863643
Acinetobacter_piscicola,2006115,2.6033690658499253,0.493268459806181,966.3129127603086
Acinetobacter_pittii,48296,7.350689127105669,36.320936908856744,71152.71540445035
Acinetobacter_populi,1582270,1.3782542113323082,0.11202130737212843,219.4497411419996
Acinetobacter_portensis,1839785,3.879530372639106,1.3084597934586844,2563.2727353855626
Acinetobacter_pragensis,1806892,2.6033690658499253,0.2053982953150358,402.37526052215514
Acinetobacter_proteolyticus,1776741,0.35732516590096797,0.09310909433364771,182.40071579961585
Acinetobacter_pseudolwoffii,2053287,1.0209290454313402,0.1391664166757919,272.62701026787636
Acinetobacter_puyangensis,1096779,0.9698825931597765,0.3327686175459635,651.8937217725424
Acinetobacter_qingfengensis,1262585,5.359877488514552,0.9292728277921336,1820.4454696447897
Acinetobacter_radioresistens,40216,3.1138335885655954,1.5153147830791978,2968.5016600521485
Acinetobacter_rudis,632955,1.786625829504851,0.44802203360266146,877.6751638276138
Acinetobacter_schindleri,108981,17.76416539050536,4.901691988632906,9602.414605731863
Acinetobacter_seifertii,1530123,7.554874936191935,17.611501623757437,34500.93168094082
Acinetobacter_septicus,465797,0.45941807044410643,0.17642074825791856,345.6082458372625
Acinetobacter_shaoyimingii,2715164,2.0418580908626804,0.7058912538927018,1382.8409663758027
Acinetobacter_sichuanensis,2136183,16.845329249617148,2.658222081180328,5207.457057032263
Acinetobacter_silvestris,1977882,0.9188361408882129,0.15853781009591908,310.5755699779055
Acinetobacter_soli,487316,1.3272077590607445,0.2835484979531912,555.4715074903015
Acinetobacter_sp. 10FS3-1,2563897,2.501276161306787,0.7980746006128713,1563.4281426006148
Acinetobacter_sp. ACNIH1,1636603,0.10209290454313846,0.012009962118657088,23.527515790449236
Acinetobacter_sp. ACNIH2,1758189,1.1740684022460424,0.1911093794637585,374.3832743695029
Acinetobacter_sp. AHP123,2913495,1.2761613067891808,0.6012188038583659,1177.7876367585388
Acinetobacter_sp. AM,2170730,0.20418580908626582,0.037896668159044994,74.23957292356914
Acinetobacter_sp. ANC 3789,1217714,0.6125574272588086,0.12163905068789507,238.29090029758646
Acinetobacter_sp. ANC 3813,1977873,1.6334864726901488,0.21433034554830838,419.8731469291361
Acinetobacter_sp. ANC 3832,1977874,2.0929045431342552,0.7106866551003665,1392.235157341618
Acinetobacter_sp. ANC 3903,1977883,0.35732516590096797,0.06212091634303424,121.69487511600407
Acinetobacter_sp. ANC 3929,1217707,1.9908116385911168,0.9154669129877034,1793.399682542911
Acinetobacter_sp. ANC 4169,1977879,1.1230219499744787,0.12549013037941523,245.83516541327444
Acinetobacter_sp. ANC 4218,1977880,0.45941807044410643,0.7414834508114234,1452.5660801395784
Acinetobacter_sp. ANC 4470,1977881,1.5824400204185851,0.416651731336197,816.2207416876099
Acinetobacter_sp. ANC 4558,1977876,3.369065849923425,0.8043768123505194,1575.7741753946675
Acinetobacter_sp. ANC 4648,1977875,1.5313935681470103,0.20701342907096565,405.5393075500217
Acinetobacter_sp. ANC 5054,1977877,1.8376722817764146,0.3152433228242084,617.5616694126243
Acinetobacter_sp. AS23,2871688,2.0929045431342552,1.7224028485304772,3374.187180271205
Acinetobacter_sp. ASP199,2773709,1.939765186319553,0.2535700627357827,496.7437528993983
Acinetobacter_sp. Ac-14,2781976,0.10209290454313846,5.9688082637402635,11692.895388667177
Acinetobacter_sp. BEC1-S18-ESBL-01,2675741,0.05104645227156368,0.341913651624073,669.808843531559
Acinetobacter_sp. BHS4,2836181,0.20418580908626582,1.4304771867638801,2802.3048088704413
Acinetobacter_sp. C16S1,2609668,0.6125574272588086,0.24212111616428905,474.31526656584225
Acinetobacter_sp. C32I,2950074,0.6636038795303723,0.08377327383161325,164.11184343613036
Acinetobacter_sp. CIP 110321,1217699,0.5104645227156701,0.24854127798168893,486.8923635661286
Acinetobacter_sp. CS-2,2798861,0.6636038795303723,0.1267433797135123,248.2902808587706
Acinetobacter_sp. Colony158,2810070,0.20418580908626582,0.07993368198675685,156.59008301205668
Acinetobacter_sp. F9,2853158,0.7656967840735107,0.13736110502286478,269.0904047397921
Acinetobacter_sp. FDAARGOS_493,2420300,0.2552322613578406,7.502095225749387,14696.604547243049
Acinetobacter_sp. FDAARGOS_494,2420301,0.10209290454313846,120.47688078201845,236014.20945197417
Acinetobacter_sp. FDAARGOS_560,2420305,0.05104645227156368,378.2191438344504,740931.3027716883
